Macaca fuscata yakui,Cercopithecidae
Macaca fuscata fuscata,Cercopithecidae
Cervus nippon nippon,Cervidae
Cervus nippon yesoensis,Cervidae
Vulpes vulpes,Canidae
Capricornis crispus,Bovidae
Eumetopias jubatus,Otariidae
Procyon lotor,Procyonidae
Alexandromys montebelli,Cricetidae
Nyctereutes viverrinus,Canidae
Lepus brachyurus,Leporidae
Sus scrofa leucomystax,Suidae
Felis catus,Felidae
Pandion haliaetus,Pandionidae
Dendrocopos major,Picidae
Milvus migrans,Accipitridae
Leiothrix lutea,Leiothrichidae
Motacilla cinerea,Motacillidae
Motacilla alba,Motacillidae
Motacilla grandis,Motacillidae
Monticola solitarius,Muscicapidae
Hirundo rustica,Hirundinidae
Emberiza variabilis,Emberizidae
Emberiza cioides,Emberizidae
Sittiparus varius,Paridae
Tachybaptus ruficollis,Podicipedidae
Larus glaucescens,Laridae
Larus crassirostris,Laridae
Columba janthina,Columbidae
Columba livia,Columbidae
Phoenicurus auroreus,Muscicapidae
Urile pelagicus,Phalacrocoracidae
Delichon dasypus,Hirundinidae
Anas zonorhyncha,Anatidae
Histrionicus histrionicus,Anatidae
Mergus merganser,Anatidae
Mareca penelope,Anatidae
Eophona personata,Fringillidae
Yungipicus kizuki,Picidae
Streptopelia orientalis,Columbidae
Horornis diphone,Cettiidae
Troglodytes troglodytes,Troglodytidae
Ardea cinerea,Ardeidae
Aythya fuligula,Anatidae
Phalacrocorax carbo,Phalacrocoracidae
Phalacrocorax capillatus,Phalacrocoracidae
Ciconia boyciana,Ciconiidae
Monticola solitarius,Muscicapidae
Turdus pallidus,Turdidae
Aegithalos caudatus,Aegithalidae
Eophona personata,Fringillidae
Prunella collaris,Prunellidae
Nycticorax nycticorax,Ardeidae
Corvus corone orientalis,Corvidae
Gekko japonicus,Gekkonidae
Plestiodon japonicus,Scincidae
Takydromus tachydromoides,Lacertidae
Trachemys scripta elegans,Emydidae
Rhabdophis tigrinus,Colubridae
Elaphe climacophora,Colubridae
Cyprinus carpio,Cyprinidae
Nipponocypris temminckii,Cyprinidae
Cyprinus rubrofuscus domestica,Cyprinidae
Geothelphusa dehaani,Potamidae
Chiromantes haematocheir,Sesarmidae
Trichonephila clavata,Araneidae
Forficula mikado,Forficulidae
Phraortes elongatus,Lonchodidae
Papilio xuthus,Papilionidae
Papilio helenus nicconicolens,Papilionidae
Papilio demetrius demetrius,Papilionidae
